federal_state,koenigstein_share_2014,koenigstein_share_2015,koenigstein_share_2016,koenigstein_share_2015_2016_avg
Baden-Württemberg,0.12974960,0.12864560,0.12966620,0.12915590
Bayern,0.15330480,0.15518730,0.15533270,0.15526000
Berlin,0.05045570,0.05049270,0.05083240,0.05066255
Brandenburg,0.03080920,0.03060530,0.03036550,0.03048540
Bremen,0.00940970,0.00956880,0.00953310,0.00955095
Hamburg,0.02527380,0.02529680,0.02557520,0.02543600
Hessen,0.07315570,0.07358900,0.07398850,0.07378875
Mecklenburg-Vorpommern,0.02041650,0.02029060,0.02012400,0.02020730
Niedersachsen,0.09356960,0.09321040,0.09331380,0.09326210
Nordrhein-Westfalen,0.21240520,0.21210100,0.21144240,0.21177170
Rheinland-Pfalz,0.04834720,0.04837100,0.04830890,0.04833995
Saarland,0.01215660,0.01221730,0.01211110,0.01216420
Sachsen,0.05100670,0.05083860,0.05055770,0.05069815
Sachsen-Anhalt,0.02857710,0.02830680,0.02799410,0.02815045
Schleswig-Holstein,0.03387910,0.03403370,0.03390740,0.03397055
Thüringen,0.02748350,0.02724510,0.02694700,0.02709605
